Category,Name,Link,Notes
Arrays,Two Sum,https://leetcode.com/problems/two-sum/,"use hash map to instantly check for difference value, map will add index of last occurrence of a num, don’t use same element twice;"
Arrays,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,"find local min and search for local max, sliding window;"
Arrays,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/,"hashset to get unique values in array, to check for duplicates easily"
Arrays,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,"make two passes, first in-order, second in-reverse, to compute products"
Arrays,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,"pattern: prev subarray cant be negative, dynamic programming: compute max sum for each prefix"
Arrays,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray/,dp: compute max and max-abs-val for each prefix subarr;
Arrays,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,"check if half of array is sorted in order to find pivot, arr is guaranteed to be in at most two sorted subarrays"
Arrays,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,"at most two sorted halfs, mid will be apart of left sorted or right sorted, if target is in range of sorted portion then search it, otherwise search other half"
Arrays,3Sum,https://leetcode.com/problems/3sum/,"sort input, for each first element, find next two where -a = b+c, if a=prevA, skip a, if b=prevB skip b to elim duplicates; to find b,c use two pointers, left/right on remaining list;"
Arrays,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,"shrinking window, left/right initially at endpoints, shift the pointer with min height;"
Binary,Sum of Two Integers,https://leetcode.com/problems/sum-of-two-integers/,"add bit by bit, be mindful of carry, after adding, if carry is still 1, then add it as well;"
Binary,Number of 1 Bits,https://leetcode.com/problems/number-of-1-bits/,"modulo, and dividing n; mod and div are expensive, to divide use bit shift, instead of mod to get 1's place use bitwise & 1;"
Binary,Counting Bits,https://leetcode.com/problems/counting-bits/,"write out result for num=16 to figure out pattern; res[i] = res[i - offset], where offset is the biggest power of 2 <= I;"
Binary,Missing Number,https://leetcode.com/problems/missing-number/,compute expected sum - real sum; xor n with each index and value;
Binary,Reverse Bits,https://leetcode.com/problems/reverse-bits/,reverse each of 32 bits;
Dynamic Programming,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,"subproblem find (n-1) and (n-2), sum = n;"
Dynamic Programming,Coin Change,https://leetcode.com/problems/coin-change/,"top-down: recursive dfs, for amount, branch for each coin, cache to store prev coin_count for each amount; bottom-up: compute coins for amount = 1, up until n, using for each coin (amount - coin), cache prev values"
Dynamic Programming,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/,"recursive: foreach num, get subseq with num and without num, only include num if prev was less, cache solution of each; dp=subseq length which must end with each num, curr num must be after a prev dp or by itself;"
Dynamic Programming,Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence/,"recursive: if first chars are equal find lcs of remaining of each, else max of: lcs of first and remain of 2nd and lcs of 2nd remain of first, cache result; nested forloop to compute the cache without recursion;"
Dynamic Programming,Word Break Problem,https://leetcode.com/problems/word-break/,"for each prefix, if prefix is in dict and wordbreak(remaining str)=True, then return True, cache result of wordbreak;"
Dynamic Programming,Combination Sum,https://leetcode.com/problems/combination-sum/,"visualize the decision tree, base case is curSum = or > target, each candidate can have children of itself or elements to right of it inorder to elim duplicate solutions;"
Dynamic Programming,House Robber,https://leetcode.com/problems/house-robber/,"for each num, get max of prev subarr, or num + prev subarr not including last element, store results of prev, and prev not including last element"
Dynamic Programming,House Robber II,https://leetcode.com/problems/house-robber-ii/,"subarr = arr without first & last, get max of subarr, then pick which of first/last should be added to it"
Dynamic Programming,Decode Ways,https://leetcode.com/problems/decode-ways/,"can cur char be decoded in one or two ways? Recursion -> cache -> iterative dp solution, a lot of edge cases to determine, 52, 31, 29, 10, 20 only decoded one way, 11, 26 decoded two ways"
